id_str,user,tweet,created
1516975883630034945,Henry Jaya,"b'@TeddGus ""Kita akan terus bersuara hingga Presiden Jokowi selesai di 2024, Pemilu betul-betul tidak ditunda, Presiden Jokowi betul-betul tidak 3 periode."" https://t.co/mj0qAF3mk3'",04/21/2022 03:03:29
1516975829099905031,ProNKRI,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/cw8IEHE47Q',04/21/2022 03:03:16
1516975154794229760,Putra kelana,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi \nhttps://t.co/eVfKxb5zeq',04/21/2022 03:00:35
1516975105817333761,Lisan Al Dhalib,b'kapan lagi punya presiden memeable. salam 3 periode https://t.co/Dhv8Acu92V',04/21/2022 03:00:23
1516974711275589632,siska,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\n\nBerdiri Bersama Jokowi\n\nhttps://t.co/gRqhv3aDQs',04/21/2022 02:58:49
1516974538810036224,Kompas.com,"b'""Kita akan terus bersuara hingga Presiden Jokowi selesai di 2024, Pemilu betul-betul tidak ditunda, Presiden Jokowi betul-betul tidak 3 periode."" https://t.co/izlGDpDY4G'",04/21/2022 02:58:08
1516973352006856704,abrahah,"b'@yusuf_dumdum presiden 2024 warisi utang 7k trilyun+ utang baru sd 2029 + bunga, total 12k trilyun ato cicilannya 6,5 trilyun/hari.\n\nsungguh mulia capres 2024.\n\n3 periode @SBYudhoyono @aniesbaswedan vs \n @jokowi @prabowo tema tanggung jawab bayar utang. https://t.co/SyGlfHuZfT'",04/21/2022 02:53:25
1516973037647986688,Wiyono Hw,"b'@IrutPagut Semua sudah terjadi, tinggal perpanjang presiden 2 tahun dan atau nambah 3 periode.'",04/21/2022 02:52:10
1516972463019933696,MC,"b'@ChusnulCh__ @BEMUI_Official Sdh jelas Presiden menolak 3 periode, apa yg mau didemokan lagi, siapa yg bayarin nih'",04/21/2022 02:49:53
1516971931211206656,Lucky HS 🇮🇩,"b'Beberapa partai dan mahasiswa masih ribut masalah 3 periode presiden dan penundaan pemilu, apa mereka kurang baca ?'",04/21/2022 02:47:47
1516971893349253120,Ateng,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi \nhttps://t.co/xMb00WUBLu',04/21/2022 02:47:38
1516970525972922368,Road Pro,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/lM3WTsTvRp\nBerdiri Bersama Jokowi',04/21/2022 02:42:11
1516970179787431936,Kucing Gembrot,b'Berdiri Bersama Jokowi Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/oxKrvs6ftV',04/21/2022 02:40:49
1516970179313508352,Nyai Blorong,b'Berdiri Bersama Jokowi Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/rrtPI35Duy',04/21/2022 02:40:49
1516970178214612992,Getaran Indonesia,b'Berdiri Bersama Jokowi Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/7O4dPSnebg',04/21/2022 02:40:49
1516970177128280066,Kupu Malam,b'Berdiri Bersama Jokowi Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/ZZslKDjhzc',04/21/2022 02:40:48
1516970175622488066,Cacing Perkasa,b'Berdiri Bersama Jokowi Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/w26OchIqBR',04/21/2022 02:40:48
1516970021250998272,Uzi Rizki,b'Presiden dan Wapres tetap patuh konstitusi. TIDAK ADA penundaan Pemilu atau 3 periode! \n\n#pemilu2024 #TolakDemoHamasiswa \n#IsuTidakRelevan https://t.co/CyWnBmsTse',04/21/2022 02:40:11
1516968856778338304,Candra Irawan,b'@DodyPratm4 Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi\nhttps://t.co/l9pC1sw2R7',04/21/2022 02:35:34
1516968426077822978,Nα_,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/ZlN9yZlOD9 Berdiri Bersama Jokowi',04/21/2022 02:33:51
1516968353344098304,Megy Amahorseya,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode. \nBerdiri Bersama Jokowi\nhttps://t.co/6xhvcHp8AO',04/21/2022 02:33:34
1516967922656178177,Ngencukers Style,"b'Netizen: ""Prof @mohmahfudmd, Krn The King Of Lip Service..""\n\nMahfud Cerita Dipanggil Jokowi: Presiden Tanya \'3 Periode\' Kenapa Ramai Terus https://t.co/1zUfZR3EF5 \n\n#HabisRezimGelapTerbitlahTerang\n\n#NkriHargaNaik https://t.co/4gbPPX9liE'",04/21/2022 02:31:51
1516967393439862784,Luffy D.,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nBerdiri Bersama Jokowi \nhttps://t.co/c7vTMiYE0J',04/21/2022 02:29:45
1516967355800186880,Syarifah AS,b'Konsistensi Jokowi Tolak Penundaan Pemilu dan Jabatan Presiden 3 Periode\nhttps://t.co/e2VhqywAc7\nBerdiri Bersama Jokowi https://t.co/MTpbeIPLge',04/21/2022 02:29:36
